date,hour,exchange,mcp,mcv,buy_volume,sell_volume
2026-01-01,1.0,IEX,2.79457,4782.39,9759.28,23795.28
2026-01-01,2.0,IEX,2.76925,5353.33,10809.63,24832.33
2026-01-01,3.0,IEX,2.88967,7006.71,13285.58,25682.8
2026-01-01,4.0,IEX,2.9115,7598.78,14113.85,25612.15
2026-01-01,5.0,IEX,2.96313,6642.53,13261.13,23411.75
2026-01-01,6.0,IEX,3.3593,6560.34,13470.85,18157.25
2026-01-01,7.0,IEX,4.29204,8486.7,16142.28,12847.38
2026-01-01,8.0,IEX,8.910219999999999,9281.95,21535.23,9993.45
2026-01-01,9.0,IEX,8.90017,9502.45,21152.55,9758.05
2026-01-01,10.0,IEX,5.48804,9947.55,19490.65,11379.6
2026-01-01,11.0,IEX,3.47673,6190.46,14575.53,10777.3
2026-01-01,12.0,IEX,3.27705,5693.18,13882.03,16340.73
2026-01-01,13.0,IEX,3.0248600000000003,6344.03,12096.83,23414.63
2026-01-01,14.0,IEX,2.60539,5724.82,10747.88,27555.83
2026-01-01,15.0,IEX,2.6807,6688.66,13374.33,24054.53
2026-01-01,16.0,IEX,3.0241700000000002,6136.09,12998.55,18129.88
2026-01-01,17.0,IEX,3.6766900000000002,7251.53,14354.63,14142.73
2026-01-01,18.0,IEX,7.5326,5683.12,16109.08,6514.38
2026-01-01,19.0,IEX,10.0,4766.92,17607.45,4986.93
2026-01-01,20.0,IEX,7.82854,5631.43,13948.33,6166.73
2026-01-01,21.0,IEX,4.74096,5547.85,12072.75,7974.1
2026-01-01,22.0,IEX,4.16481,6325.73,11830.25,12723.08
2026-01-01,23.0,IEX,3.30918,5447.64,10591.7,18069.6
2026-01-01,24.0,IEX,3.0342399999999996,5023.75,9885.8,22532.05
2026-01-02,1.0,IEX,2.91133,5823.09,11728.23,25811.93
2026-01-02,2.0,IEX,2.67068,5824.46,12462.78,27064.9
2026-01-02,3.0,IEX,2.6767600000000003,6816.04,13438.05,28607.8
2026-01-02,4.0,IEX,2.76782,7956.94,13807.13,28744.8
2026-01-02,5.0,IEX,2.86621,7594.28,13998.8,27597.48
2026-01-02,6.0,IEX,3.35865,7533.18,13466.98,20552.28
2026-01-02,7.0,IEX,4.25351,8719.8,15693.9,13366.0
2026-01-02,8.0,IEX,8.83858,9938.0,20177.95,10919.15
2026-01-02,9.0,IEX,7.33641,9847.52,18697.23,11373.9
2026-01-02,10.0,IEX,4.68756,9205.45,18962.68,12124.0
2026-01-02,11.0,IEX,3.93883,7924.34,17813.85,13630.7
2026-01-02,12.0,IEX,3.58209,7156.35,16621.5,17236.13
2026-01-02,13.0,IEX,3.34159,7326.68,15204.83,23270.5
2026-01-02,14.0,IEX,3.13171,6305.35,14119.28,27236.73
2026-01-02,15.0,IEX,3.13615,7721.85,16302.45,23636.88
2026-01-02,16.0,IEX,3.4825500000000003,8457.75,16894.13,17515.75
2026-01-02,17.0,IEX,5.98716,9572.18,19021.58,11965.75
2026-01-02,18.0,IEX,10.0,4853.16,21314.33,5293.18
2026-01-02,19.0,IEX,10.0,3980.65,23335.7,4420.65
2026-01-02,20.0,IEX,10.0,4483.25,18830.58,4923.25
2026-01-02,21.0,IEX,5.41462,6282.68,14915.35,7307.6
2026-01-02,22.0,IEX,4.4554,6373.76,12664.03,11453.83
2026-01-02,23.0,IEX,3.9033200000000003,6186.88,11649.25,16847.0
2026-01-02,24.0,IEX,3.3889,5494.95,10878.75,21676.83
2026-01-03,1.0,IEX,2.92932,6733.75,12127.98,28452.5
2026-01-03,2.0,IEX,2.76532,6880.24,12667.18,29780.9
2026-01-03,3.0,IEX,2.69551,7441.5,13422.08,30553.7
2026-01-03,4.0,IEX,2.69061,8021.22,13864.0,30898.1
2026-01-03,5.0,IEX,2.7929299999999997,7409.8,13485.23,29791.18
2026-01-03,6.0,IEX,3.1655300000000004,6365.5,12688.38,22362.65
2026-01-03,7.0,IEX,3.9443200000000003,6483.18,13778.7,14476.53
2026-01-03,8.0,IEX,6.8316300000000005,9593.66,18091.53,12488.68
2026-01-03,9.0,IEX,5.08688,9689.05,18402.38,12248.28
2026-01-03,10.0,IEX,4.73167,9976.7,20542.65,13116.33
2026-01-03,11.0,IEX,4.104430000000001,7568.45,16498.7,12903.13
2026-01-03,12.0,IEX,3.66031,8396.23,16238.2,18005.83
2026-01-03,13.0,IEX,3.3913699999999998,7905.93,14482.9,24137.4
2026-01-03,14.0,IEX,3.22931,6401.98,13322.55,28096.68
2026-01-03,15.0,IEX,3.25665,7393.0,14885.48,24815.73
2026-01-03,16.0,IEX,3.56562,8989.23,16262.73,19512.85
2026-01-03,17.0,IEX,4.195930000000001,8352.55,16827.7,13820.48
2026-01-03,18.0,IEX,10.0,6063.04,21239.9,7292.35
2026-01-03,19.0,IEX,10.0,4603.32,22907.6,5757.63
2026-01-03,20.0,IEX,9.399790000000001,5878.48,18180.25,7200.95
2026-01-03,21.0,IEX,4.931649999999999,6997.05,14067.98,9804.65
2026-01-03,22.0,IEX,4.22479,7116.95,12665.85,13578.43
2026-01-03,23.0,IEX,3.75225,7216.53,12830.98,19764.08
2026-01-03,24.0,IEX,3.02306,6888.26,11903.58,24336.9
2026-01-04,1.0,IEX,2.7868000000000004,5755.2,11899.13,27567.95
2026-01-04,2.0,IEX,2.71541,6414.04,12455.58,29002.95
2026-01-04,3.0,IEX,2.67487,7149.3,13659.0,29697.6
2026-01-04,4.0,IEX,2.67009,7104.0,13062.78,29923.03
2026-01-04,5.0,IEX,2.73535,6836.84,13675.68,28467.45
2026-01-04,6.0,IEX,3.11626,6489.6,13621.25,22969.85
2026-01-04,7.0,IEX,3.83697,7995.5,15290.03,16966.03
2026-01-04,8.0,IEX,4.45592,9293.43,17804.6,15740.2
2026-01-04,9.0,IEX,4.376600000000001,8509.88,17736.95,15538.2
2026-01-04,10.0,IEX,4.0513200000000005,7617.61,16513.13,14036.03
2026-01-04,11.0,IEX,3.4539400000000002,6567.18,14443.15,14974.73
2026-01-04,12.0,IEX,2.9307600000000003,6029.86,13574.33,21692.73
2026-01-04,13.0,IEX,2.8415100000000004,6173.21,12470.1,26647.28
2026-01-04,14.0,IEX,2.65538,5746.9,11118.1,30928.93
2026-01-04,15.0,IEX,2.63283,5931.82,13006.68,29448.23
2026-01-04,16.0,IEX,2.7962399999999996,5984.53,12664.63,22869.98
2026-01-04,17.0,IEX,3.30143,8101.27,14120.8,19363.4
2026-01-04,18.0,IEX,4.14918,6513.95,13715.98,12300.2
2026-01-04,19.0,IEX,5.0800600000000005,5880.28,14241.48,9634.98
2026-01-04,20.0,IEX,4.50476,5016.75,11520.83,10357.33
2026-01-04,21.0,IEX,3.9639,5977.32,10786.88,12228.73
2026-01-04,22.0,IEX,3.84505,6050.08,10562.18,15987.93
2026-01-04,23.0,IEX,3.4612800000000004,6022.57,11023.75,21677.58
2026-01-04,24.0,IEX,2.8869000000000002,5450.52,10046.88,26168.33
