date,hour,exchange,mcp,mcv,buy_volume,sell_volume,day_of_week,month,is_weekend,is_peak,grid_period_Evening_Peak,grid_period_Morning_Peak,grid_period_Off_Peak,buy_sell_ratio,daily_avg_mcp,mcp_lag1,mcp_roll7_mean,mcp_roll7_std,mcp_ema_12,mcp_ema_24
2026-01-01,1.0,IEX,2.79457,4782.39,9759.28,23795.28,3,1,0,0,False,False,True,0.41013511906137057,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,24.0,IEX,3.03424,5023.75,9885.8,22532.05,3,1,0,0,False,False,True,0.4387439223511647,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,23.0,IEX,3.30918,5447.64,10591.7,18069.6,3,1,0,0,False,False,True,0.5861612871418509,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,22.0,IEX,4.16481,6325.73,11830.25,12723.08,3,1,0,1,True,False,False,0.9298259533620586,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,21.0,IEX,4.74096,5547.85,12072.75,7974.1,3,1,0,1,True,False,False,1.5139953079168869,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,20.0,IEX,7.82854,5631.43,13948.33,6166.73,3,1,0,1,True,False,False,2.261868117686573,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,19.0,IEX,10.0,4766.92,17607.45,4986.93,3,1,0,1,True,False,False,3.53071929317091,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,17.0,IEX,3.67669,7251.53,14354.63,14142.73,3,1,0,1,False,False,True,1.014982962260481,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,16.0,IEX,3.02417,6136.09,12998.55,18129.88,3,1,0,1,False,False,True,0.7169683413696238,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,15.0,IEX,2.6807,6688.66,13374.33,24054.53,3,1,0,1,False,False,True,0.5560004703662884,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,14.0,IEX,2.60539,5724.82,10747.88,27555.83,3,1,0,1,False,False,True,0.3900401474424685,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,13.0,IEX,3.0248600000000003,6344.03,12096.83,23414.63,3,1,0,1,False,False,True,0.5166355391835636,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,18.0,IEX,7.5326,5683.12,16109.08,6514.38,3,1,0,1,True,False,False,2.4728492926834953,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,11.0,IEX,3.47673,6190.46,14575.53,10777.3,3,1,0,1,False,False,True,1.3524287146572624,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,10.0,IEX,5.48804,9947.55,19490.65,11379.6,3,1,0,1,False,True,False,1.712771097654776,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,9.0,IEX,8.90017,9502.45,21152.55,9758.05,3,1,0,1,False,True,False,2.1677025613030243,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,8.0,IEX,8.910219999999999,9281.95,21535.23,9993.45,3,1,0,0,False,True,False,2.1549344799294192,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,7.0,IEX,4.29204,8486.7,16142.28,12847.38,3,1,0,0,False,True,False,1.2564647412496053,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,6.0,IEX,3.3593,6560.34,13470.85,18157.25,3,1,0,0,False,True,False,0.7418992409412773,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,5.0,IEX,2.96313,6642.53,13261.13,23411.75,3,1,0,0,False,False,True,0.5664305314355268,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,4.0,IEX,2.9115,7598.78,14113.85,25612.15,3,1,0,0,False,False,True,0.5510607268225975,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,3.0,IEX,2.88967,7006.71,13285.58,25682.8,3,1,0,0,False,False,True,0.5172948430399743,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,2.0,IEX,2.76925,5353.33,10809.63,24832.33,3,1,0,0,False,False,True,0.43530470139720884,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-01,12.0,IEX,3.27705,5693.18,13882.03,16340.73,3,1,0,1,False,False,True,0.8495354853488581,4.485575416666666,,,,4.485575416666666,4.485575416666666
2026-01-02,15.0,IEX,3.13615,7721.85,16302.45,23636.88,4,1,0,1,False,False,True,0.6897039707906865,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,16.0,IEX,3.4825500000000003,8457.75,16894.13,17515.75,4,1,0,1,False,False,True,0.9645107968745211,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,17.0,IEX,5.98716,9572.18,19021.58,11965.75,4,1,0,1,False,False,True,1.589668845170868,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,18.0,IEX,10.0,4853.16,21314.33,5293.18,4,1,0,1,True,False,False,4.0267532862537205,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,19.0,IEX,10.0,3980.65,23335.7,4420.65,4,1,0,1,True,False,False,5.278793830593253,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,24.0,IEX,3.3889,5494.95,10878.75,21676.83,4,1,0,0,False,False,True,0.5018607423217044,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,21.0,IEX,5.41462,6282.68,14915.35,7307.6,4,1,0,1,True,False,False,2.0410736739270434,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,22.0,IEX,4.4554,6373.76,12664.03,11453.83,4,1,0,1,True,False,False,1.105658979480524,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,23.0,IEX,3.90332,6186.88,11649.25,16847.0,4,1,0,0,False,False,True,0.6914732589235631,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,14.0,IEX,3.13171,6305.35,14119.28,27236.73,4,1,0,1,False,False,True,0.5183911576322153,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,20.0,IEX,10.0,4483.25,18830.58,4923.25,4,1,0,1,True,False,False,3.8248270881535027,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,13.0,IEX,3.34159,7326.68,15204.83,23270.5,4,1,0,1,False,False,True,0.653395070731873,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,6.0,IEX,3.35865,7533.18,13466.98,20552.28,4,1,0,0,False,True,False,0.6552547937964767,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,11.0,IEX,3.93883,7924.34,17813.85,13630.7,4,1,0,1,False,False,True,1.306891794767039,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,12.0,IEX,3.58209,7156.35,16621.5,17236.13,4,1,0,1,False,False,True,0.9643406025805441,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,2.0,IEX,2.67068,5824.46,12462.78,27064.9,4,1,0,0,False,False,True,0.46047759257914217,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,3.0,IEX,2.6767600000000003,6816.04,13438.05,28607.8,4,1,0,0,False,False,True,0.4697337787352632,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,4.0,IEX,2.76782,7956.94,13807.13,28744.8,4,1,0,0,False,False,True,0.48033487779343226,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,5.0,IEX,2.86621,7594.28,13998.8,27597.48,4,1,0,0,False,False,True,0.5072492124254645,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,1.0,IEX,2.91133,5823.09,11728.23,25811.93,4,1,0,0,False,False,True,0.45437245473144683,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,7.0,IEX,4.25351,8719.8,15693.9,13366.0,4,1,0,0,False,True,False,1.1741657929267053,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,8.0,IEX,8.83858,9938.0,20177.95,10919.15,4,1,0,0,False,True,False,1.8479414589524448,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,9.0,IEX,7.33641,9847.52,18697.23,11373.9,4,1,0,1,False,True,False,1.6438714938201748,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-02,10.0,IEX,4.68756,9205.45,18962.68,12124.0,4,1,0,1,False,True,False,1.5640613645957924,4.838742916666667,4.485575416666666,,,4.539908878205128,4.513828816666667
2026-01-03,24.0,IEX,3.02306,6888.26,11903.58,24336.9,5,1,1,0,False,False,True,0.48911652655468996,4.51537,4.838742916666667,,,4.536133666173569,4.513952111333333
2026-01-03,23.0,IEX,3.75225,7216.53,12830.98,19764.08,5,1,1,0,False,False,True,0.6492070459898932,4.51537,4.838742916666667,,,4.536133666173569,4.513952111333333
2026-01-03,22.0,IEX,4.22479,7116.95,12665.85,13578.43,5,1,1,1,True,False,False,0.9327919347577063,4.51537,4.838742916666667,,,4.536133666173569,4.513952111333333
2026-01-03,21.0,IEX,4.931649999999999,6997.05,14067.98,9804.65,5,1,1,1,True,False,False,1.434827350864307,4.51537,4.838742916666667,,,4.536133666173569,4.513952111333333
