Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
01-03-2026,1,15725.80,20424.20,8843.69,8843.69,3282.86,3296.67
01-03-2026,2,16899.23,22211.73,9757.53,9757.53,3336.44,3336.25
01-03-2026,3,17690.35,23086.93,10344.09,10344.09,3410.90,3411.77
01-03-2026,4,18198.40,23413.98,11086.26,11086.26,3459.65,3459.79
01-03-2026,5,18585.63,21107.18,10585.43,10585.43,3628.08,3626.64
01-03-2026,6,17508.98,17225.15,10620.63,10620.63,3820.62,3847.26
01-03-2026,7,17098.13,16061.08,9570.27,9570.27,4397.82,4434.94
01-03-2026,8,21876.93,17830.83,12295.50,12295.50,7243.75,7250.92
01-03-2026,9,20009.93,22482.35,12249.18,12249.18,3559.19,3585.86
01-03-2026,10,15314.00,25526.93,11104.05,11104.05,2504.25,2505.43
01-03-2026,11,13233.78,30414.43,10806.43,10806.43,2011.70,2011.21
01-03-2026,12,14183.85,37420.93,10957.05,10957.05,2063.59,2063.03
01-03-2026,13,12830.93,43664.23,10618.65,10618.65,1887.99,1889.09
01-03-2026,14,12085.38,46466.03,9939.57,9939.57,1500.42,1500.42
01-03-2026,15,13634.33,42747.15,11430.21,11430.21,1759.93,1760.76
01-03-2026,16,14340.03,36156.68,10881.85,10881.85,2166.36,2167.01
01-03-2026,17,12725.65,29629.65,9418.09,9418.09,2097.75,2098.02
01-03-2026,18,11397.28,22681.75,8009.28,8009.28,2295.48,2266.18
01-03-2026,19,13811.13,16333.43,7591.64,7591.64,3849.97,3856.70
01-03-2026,20,13652.35,16648.70,7890.15,7890.15,3594.43,3598.05
01-03-2026,21,12559.38,16989.65,7958.93,7958.93,3261.24,3262.00
01-03-2026,22,11813.63,17294.53,6849.04,6849.04,2860.55,2861.82
01-03-2026,23,11742.95,18337.00,6634.03,6634.03,2895.11,2896.08
01-03-2026,24,12081.23,19910.45,6811.43,6811.43,2907.77,2908.62
02-03-2026,1,16406.78,20263.10,8385.80,8385.80,3313.18,3316.62
02-03-2026,2,17590.85,21868.98,8721.27,8721.27,3328.77,3328.52
02-03-2026,3,18349.93,23096.40,9536.43,9536.43,3437.91,3437.91
02-03-2026,4,18735.38,23869.45,10880.97,10880.97,3479.97,3480.26
02-03-2026,5,19880.78,21749.45,11333.61,11333.61,3699.70,3699.70
02-03-2026,6,18043.95,16612.73,10332.53,10332.53,3924.59,3942.32
02-03-2026,7,18954.18,13080.15,9157.94,9157.94,7180.67,7282.31
02-03-2026,8,26170.65,13865.23,11042.72,11042.72,10000.00,10000.00
02-03-2026,9,23096.48,20282.83,13569.38,13569.38,4667.61,4699.71
02-03-2026,10,19385.35,23914.50,12859.00,12859.00,3172.87,3184.16
02-03-2026,11,17432.30,27969.73,11214.40,11214.40,2962.85,2959.36
02-03-2026,12,18404.48,34280.85,11262.67,11262.67,2535.06,2533.70
02-03-2026,13,17410.40,41042.90,12314.98,12314.98,2242.78,2246.59
02-03-2026,14,16185.60,43880.30,11603.87,11603.87,1743.73,1744.59
02-03-2026,15,17984.50,39721.95,13143.67,13143.67,2240.50,2245.55
02-03-2026,16,17583.85,33432.70,11956.06,11956.06,2748.50,2746.17
02-03-2026,17,16467.05,26467.58,10641.37,10641.37,2927.93,2919.47
02-03-2026,18,15982.73,17950.00,8690.00,8690.00,3467.34,3456.40
02-03-2026,19,18486.75,10914.48,7729.05,7729.05,8470.02,8350.47
02-03-2026,20,18727.30,11535.05,8198.20,8198.20,7616.93,7524.27
02-03-2026,21,15842.13,14681.00,9152.54,9152.54,4345.07,4348.82
02-03-2026,22,13792.68,15379.75,7721.80,7721.80,3421.52,3424.08
02-03-2026,23,13050.20,15775.13,6419.11,6419.11,3150.58,3150.25
02-03-2026,24,13179.95,17929.50,6598.46,6598.46,3012.66,3012.65
03-03-2026,1,16867.33,22930.23,9873.73,9873.73,3274.45,3286.80
03-03-2026,2,18148.90,24561.20,11096.35,11096.35,3358.16,3358.15
03-03-2026,3,18732.60,25438.45,11735.31,11735.31,3386.90,3387.72
03-03-2026,4,19357.83,25823.58,12510.52,12510.52,3435.16,3435.96
03-03-2026,5,19513.08,23468.23,12617.20,12617.20,3610.67,3608.56
03-03-2026,6,18221.68,17986.60,11652.35,11652.35,4039.07,4043.17
03-03-2026,7,17444.70,15589.43,10148.13,10148.13,5485.10,5546.80
